Team,ELO
Phoenix,1105.6362041029845
Toronto,926.6902220871394
Boston,1135.1951930475575
Portland,1014.994323503963
Indiana,1062.7647300484534
Brooklyn,994.8246433073089
San Antonio,1071.3060352173115
LA Clippers,1029.4065707663665
Philadelphia,1049.1804334488463
Chicago,921.3226201960623
Charlotte,1060.3083830911971
Atlanta,886.6891870929688
Cleveland,964.5015738598735
Golden State,1063.8015724247327
New York,1063.6748832435446
Detroit,909.4105036822556
Minnesota,770.2651907203056
Oklahoma City,1061.6487571107232
LA Lakers,1117.7541020321657
Dallas,1088.9970767928237
Milwaukee,1049.1532724695132
Houston,999.195626894258
Miami,1002.4403830085187
Sacramento,865.7715007009537
Denver,1016.0631656142334
Orlando,988.0782046909908
Memphis,964.9930954958467
Utah,1050.5430661508135
New Orleans,914.1799146978597
Washington,851.2095645004292
